criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.4;0.6;1.0;0.3;0.04;1.0;0.04;1.0;1.0;1.0
1;0.0;0.6;0.2;0.7;1.0;1.0;1.0;0.36;1.0;0.36
2;0.4;0.2;0.8;0.2;0.04;1.0;0.04;0.36;1.0;0.36
3;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
4;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
5;1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
6;0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
7;0.2;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
8;0.4;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
9;0.2;0.4;0.4;0.5;0.36;1.0;0.36;0.04;1.0;0.04
10;0.0;0.6;0.4;0.6;1.0;1.0;1.0;0.04;1.0;0.04
11;0.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
12;0.8;0.4;0.6;0.4;0.36;1.0;0.36;0.04;1.0;0.04
13;0.8;0.2;0.0;0.6;0.36;1.0;0.36;1.0;1.0;1.0
14;0.6;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
15;0.8;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
16;0.0;0.2;0.4;0.4;1.0;1.0;1.0;0.04;1.0;0.04
17;0.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
18;0.0;0.0;0.8;0.1;1.0;1.0;1.0;0.36;1.0;0.36
19;0.4;0.2;1.0;0.1;0.04;1.0;0.04;1.0;1.0;1.0
20;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
21;0.4;0.4;0.2;0.6;0.04;1.0;0.04;0.36;1.0;0.36
22;0.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
23;0.4;1.0;0.8;0.6;0.04;1.0;0.04;0.36;1.0;0.36
24;1.0;0.8;1.0;0.4;1.0;1.0;1.0;1.0;1.0;1.0
25;0.4;0.2;0.4;0.4;0.04;1.0;0.04;0.04;1.0;0.04
26;0.0;0.4;0.6;0.4;1.0;1.0;1.0;0.04;1.0;0.04
27;0.2;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
28;0.8;0.6;0.4;0.6;0.36;1.0;0.36;0.04;1.0;0.04
29;0.2;0.8;0.2;0.8;0.36;1.0;0.36;0.36;1.0;0.36
30;0.2;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
31;0.2;0.0;0.4;0.3;0.36;1.0;0.36;0.04;1.0;0.04
32;0.8;0.4;1.0;0.2;0.36;1.0;0.36;1.0;1.0;1.0
33;0.8;0.4;0.6;0.4;0.36;1.0;0.36;0.04;1.0;0.04
34;1.0;0.8;0.2;0.8;1.0;1.0;1.0;0.36;1.0;0.36
35;0.4;0.8;0.6;0.6;0.04;1.0;0.04;0.04;1.0;0.04
36;0.8;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
37;0.8;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
38;0.4;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
39;0.2;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
40;0.2;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
41;0.0;0.8;0.6;0.6;1.0;1.0;1.0;0.04;1.0;0.04
42;0.4;0.2;0.4;0.4;0.04;1.0;0.04;0.04;1.0;0.04
43;0.0;0.4;0.0;0.7;1.0;1.0;1.0;1.0;1.0;1.0
44;0.4;0.2;0.2;0.5;0.04;1.0;0.04;0.36;1.0;0.36
45;0.6;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
46;0.6;0.2;0.4;0.4;0.04;1.0;0.04;0.04;1.0;0.04
47;0.8;0.2;0.2;0.5;0.36;1.0;0.36;0.36;1.0;0.36
48;0.0;0.4;0.4;0.5;1.0;1.0;1.0;0.04;1.0;0.04
49;0.4;0.0;1.0;0.0;0.04;1.0;0.04;1.0;1.0;1.0
50;0.2;0.6;1.0;0.3;0.36;1.0;0.36;1.0;1.0;1.0
51;0.2;0.6;0.8;0.4;0.36;1.0;0.36;0.36;1.0;0.36
52;0.6;0.4;0.4;0.5;0.04;1.0;0.04;0.04;1.0;0.04
53;0.4;0.4;0.2;0.6;0.04;1.0;0.04;0.36;1.0;0.36
54;0.4;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
55;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
