criterion_id;Fact;Support;Opposition
0;"Në Kosovë; a ndalon Kushtetuta diskriminimin bazuar në orientimin seksual?";"Në Kosovë; a duhet të ndalojë Kushtetuta diskriminimin bazuar në orientimin seksual?";"Në Kosovë; a duhet të lejojë Kushtetuta diskriminimin bazuar në orientimin seksual?"
1;"Në Kosovë; a përfshihet orientimi seksual shprehimisht në legjislacionin kundër diskriminimit në punësim?";"Në Kosovë; a duhet të përfshihet shprehimisht orientimi seksual në legjislacionin kundër diskriminimit në punësim?";"Në Kosovë; a duhet që orientimi seksual të përjashtohet nga legjislacioni kundër diskriminimit në punësim?"
2;"Në Kosovë; a përfshihet orientimi seksual në mënyrë eksplicite në legjislacionin kundër diskriminimit për mallra dhe shërbime?";"Në Kosovë; a duhet që orientimi seksual të përfshihet shprehimisht në legjislacionin kundër diskriminimit në mallra dhe shërbime?";"Në Kosovë; a duhet të përjashtohet orientimi seksual nga legjislacioni kundër diskriminimit në mallra dhe shërbime?"
3;"Në Kosovë; a është e ndaluar me ligj diskriminimi bazuar në orientimin seksual në fushën e arsimit?";"Në Kosovë; a duhet të ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e arsimit?";"Në Kosovë; a duhet që diskriminimi bazuar në orientimin seksual në fushën e arsimit të lejohet nga legjislacioni?"
4;"Në Kosovë; a është e ndaluar me ligj diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë?";"Në Kosovë; a duhet të ndalohet me ligj diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë?";"Në Kosovë; a duhet që diskriminimi bazuar në orientimin seksual në fushën e shëndetësisë të lejohet nga legjislacioni?"
5;"Në Kosovë; a ekzistojnë ndonjë ligj ose politikë që ndalojnë praktikat e konvertimit ose riparimit me qëllim ndryshimin e orientimit seksual të një të mituri?";"Në Kosovë; a duhet që konvertimi ose praktikat reparative të synuara për të ndryshuar orientimin seksual të një të mituri të ndalohen me ligj ose politika?";"Në Kosovë; a duhet që konvertimi ose praktikat reparative me qëllim ndryshimin e orientimit seksual të një të mituri të lejohen nga legjislacioni ose politikat?"
6;"Në Kosovë; a ekziston një institucion kombëtar për të drejtat e njeriut ose një organ për barazi; i ngarkuar shprehimisht të trajtojë dhe të punojë në mënyrë sistematike mbi çështjet që lidhen me orientimin seksual?";"Në Kosovë; a duhet që një institucion kombëtar për të drejtat e njeriut ose një organ për barazi të ketë mandat të qartë për t'u marrë dhe për të punuar në mënyrë sistematike mbi çështjet që lidhen me orientimin seksual?";"Në Kosovë; a nuk duhet të mandatohet një institucion kombëtar për të drejtat e njeriut ose një organ për barazi që të trajtojë çështjet që lidhen me orientimin seksual?"
7;"Në Kosovë; a ekziston një plan veprimi për barazi që përfshin në mënyrë eksplicite orientimin seksual dhe masa specifike për përparim?";"Në Kosovë; a duhet të ketë një plan veprimi për barazi që përfshin në mënyrë eksplicite orientimin seksual dhe masa specifike për përparim?";"Në Kosovë; a duhet të përjashtohet orientimi seksual nga planet e veprimit për barazi?"
8;"Në Kosovë; a ndalon Kushtetuta diskriminimin bazuar në identitetin gjinor?";"Në Kosovë; a duhet të ndalojë Kushtetuta diskriminimin bazuar në identitetin gjinor?";"Në Kosovë; a duhet të lejojë Kushtetuta diskriminimin bazuar në identitetin gjinor?"
9;"Në Kosovë; a përfshihet shprehimisht identiteti gjinor në legjislacionin kundër diskriminimit në punësim?";"Në Kosovë; a duhet që identiteti gjinor të përfshihet shprehimisht në legjislacionin kundër diskriminimit në punësim?";"Në Kosovë; a duhet të përjashtohet identiteti gjinor nga legjislacioni kundër diskriminimit në punësim?"
10;"Në Kosovë; a përfshihet shprehimisht identiteti gjinor në legjislacionin kundër diskriminimit për mallrat dhe shërbimet?";"Në Kosovë; a duhet që identiteti gjinor të përfshihet shprehimisht në legjislacionin kundër diskriminimit në mallra dhe shërbime?";"Në Kosovë; a duhet që identiteti gjinor të përjashtohet nga legjislacioni kundër diskriminimit në mallra dhe shërbime?"
11;"Në Kosovë; a është e ndaluar me ligj diskriminimi bazuar në identitetin gjinor në fushën e arsimit?";"Në Kosovë; a duhet të ndalohet me ligj diskriminimi bazuar në identitetin gjinor në fushën e arsimit?";"Në Kosovë; a duhet që diskriminimi bazuar në identitetin gjinor në fushën e arsimit të lejohet nga legjislacioni?"
12;"Në Kosovë; a është e ndaluar me ligj diskriminimi bazuar në identitetin gjinor në fushën e shëndetësisë?";"Në Kosovë; a duhet të ndalohet me ligj diskriminimi bazuar në identitetin gjinor në fushën e shëndetësisë?";"Në Kosovë; a duhet që diskriminimi bazuar në identitetin gjinor në fushën e shëndetësisë të lejohet nga legjislacioni?"
13;"Në Kosovë; a ekzistojnë ndonjë ligj ose politikë që ndalojnë praktikat e konvertimit ose riparuese me qëllim ndryshimin e identitetit gjinor të një të mituri?";"Në Kosovë; a duhet që konvertimi ose praktikat reparative të synuara për të ndryshuar identitetin gjinor të një të mituri të ndalohen me ligj ose politika?";"Në Kosovë; a duhet që konvertimi ose praktikat riparative me qëllim ndryshimin e identitetit gjinor të një të mituri të lejohen nga legjislacioni ose politikat?"
14;"Në Kosovë; a ekziston një institucion kombëtar për të drejtat e njeriut ose një organ për barazi; i ngarkuar shprehimisht të trajtojë dhe të punojë në mënyrë sistematike mbi çështjet që lidhen me identitetin gjinor? (mendoj se ju nevojitet vetëm një)";"Në Kosovë; a duhet që një institucion kombëtar për të drejtat e njeriut ose një organ për barazi të ketë mandat të qartë për të trajtuar çështjet që lidhen me identitetin gjinor?";"Në Kosovë; a nuk duhet të mandatohet një institucion kombëtar për të drejtat e njeriut ose një organ për barazi që të trajtojë çështjet që lidhen me identitetin gjinor?"
15;"Në Kosovë; a ekziston një plan veprimi për barazi që përfshin në mënyrë eksplicite identitetin gjinor dhe masa specifike për përparim?";"Në Kosovë; a duhet të ketë një plan veprimi për barazi që përfshin në mënyrë eksplicite identitetin gjinor dhe masa specifike për përparim?";"Në Kosovë; a duhet që identiteti gjinor të përjashtohet nga planet e veprimit për barazi?"
16;"Në Kosovë; a përfshihet shprehja gjinore në mënyrë eksplicite në legjislacionin kundër diskriminimit?";"Në Kosovë; a duhet që shprehja gjinore të përfshihet shprehimisht në legjislacionin kundër diskriminimit?";"Në Kosovë; a duhet të përjashtohet shprehja gjinore nga legjislacioni kundër diskriminimit?"
17;"Në Kosovë; a ndalon Kushtetuta diskriminimin bazuar në karakteristikat seksuale?";"Në Kosovë; a duhet që Kushtetuta të ndalojë diskriminimin bazuar në karakteristikat seksuale?";"Në Kosovë; a duhet të lejojë Kushtetuta diskriminimin bazuar në karakteristikat seksuale?"
18;"Në Kosovë; a përfshihen në mënyrë eksplicite karakteristikat seksuale në legjislacionin kundër diskriminimit në punësim?";"Në Kosovë; a duhet të përfshihen shprehimisht karakteristikat seksuale në legjislacionin kundër diskriminimit në punësim?";"Në Kosovë; a duhet të përjashtohen karakteristikat seksuale nga legjislacioni kundër diskriminimit në punësim?"
19;"Në Kosovë; a përfshihen në mënyrë eksplicite karakteristikat seksuale në legjislacionin kundër diskriminimit për mallrat dhe shërbimet?";"Në Kosovë; a duhet të përfshihen në mënyrë eksplicite karakteristikat seksuale në legjislacionin kundër diskriminimit në mallra dhe shërbime?";"Në Kosovë; a duhet të përjashtohen karakteristikat seksuale nga legjislacioni kundër diskriminimit në mallra dhe shërbime?"
20;"Në Kosovë; a është e ndaluar me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e arsimit?";"Në Kosovë; a duhet të ndalohet me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e arsimit?";"Në Kosovë; a duhet që diskriminimi bazuar në karakteristikat seksuale në fushën e arsimit të lejohet nga legjislacioni?"
21;"Në Kosovë; a është e ndaluar me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e shëndetësisë?";"Në Kosovë; a duhet të ndalohet me ligj diskriminimi bazuar në karakteristikat seksuale në fushën e shëndetësisë?";"Në Kosovë; a duhet që diskriminimi bazuar në karakteristikat seksuale në fushën e shëndetësisë të lejohet nga legjislacioni?"
22;"Në Kosovë; a ekziston një institucion kombëtar për të drejtat e njeriut ose një organ për barazi; i ngarkuar shprehimisht të trajtojë dhe të punojë në mënyrë sistematike mbi çështjet që lidhen me karakteristikat seksuale?";"Në Kosovë; a duhet që institucionet kombëtare të të drejtave të njeriut ose organet për barazi të kenë mandat të qartë për të trajtuar çështjet që lidhen me karakteristikat seksuale?";"Në Kosovë; a nuk duhet t'u jepet mandat institucioneve kombëtare të të drejtave të njeriut ose organeve për barazi që të trajtojnë çështjet që lidhen me karakteristikat seksuale?"
23;"Në Kosovë; a ekziston një plan veprimi për barazi që përfshin në mënyrë eksplicite karakteristikat seksuale dhe masa specifike për përparim?";"Në Kosovë; a duhet të ketë një plan veprimi për barazi që përfshin në mënyrë eksplicite identitetin gjinor dhe masa specifike për përparim?";"Në Kosovë; a duhet të përjashtohen karakteristikat seksuale nga planet e veprimit për barazi?"
24;"Në Kosovë; a është dhënia e gjakut ose e çdo lloji indesh trupore për personat LGBTI; bazuar në orientimin e tyre seksual ose identitetin gjinor; e lirë nga ndalimi ligjor ose administrativ? ";"Në Kosovë; a duhet që dhurimi i gjakut ose i çdo lloji indesh trupore për personat LGBTI; bazuar në orientimin e tyre seksual ose identitetin gjinor; të jetë i lirë nga ndalimet ligjore ose administrative? ";"Në Kosovë; a duhet që dhurimi i gjakut ose i çdo lloji indesh trupore nga personat LGBTI; bazuar në orientimin e tyre seksual ose identitetin gjinor; të jetë subjekt i ndalimit ligjor ose administrativ? "
25;"Në Kosovë; a lejohen çiftet e të njëjtës gjini të martohen me të njëjtin nivel të të drejtave si çiftet e martuara të gjinive të ndryshme?";"Në Kosovë; a duhet t'u lejohet çifteve të së njëjtës gjini të martohen me të njëjtin nivel të të drejtave si çiftet e martuara të gjinive të ndryshme?";"Në Kosovë; a nuk duhet t'u lejohet çifteve të së njëjtës gjini të martohen me të njëjtin nivel të të drejtave si çiftet e martuara të gjinive të ndryshme?"
26;"Në Kosovë; a lejohen çiftet e të njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil dhe të marrin të njëjtin nivel të të drejtave sikur të ishin të martuar?";"Në Kosovë; a duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil dhe të fitojnë të njëjtin nivel të të drejtave sikur të ishin të martuar?";"Në Kosovë; a nuk duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil dhe të fitojnë të njëjtin nivel të të drejtave sikur të ishin të martuar?"
27;"Në Kosovë; a lejohen çiftet e të njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil?";"Në Kosovë; a duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil?";"Në Kosovë; a nuk duhet t'u lejohet çifteve të së njëjtës gjini të hyjnë në një partneritet të regjistruar/partneritet civil?"
28;"Në Kosovë; a përfshihen çiftet e të njëjtës gjini në legjislacion ose në masa ligjore për bashkëjetesë?";"Në Kosovë; a duhet që çiftet e së njëjtës gjini të përfshihen në legjislacion ose masa ligjore për bashkëjetesën?";"Në Kosovë; a duhet që çiftet e së njëjtës gjini të përjashtohen nga legjislacioni ose masat ligjore për bashkëjetesën?"
29;"Në Kosovë; a nuk ka një përkufizim kushtetues të martesës si një bashkim vetëm midis një burri dhe një gruaje?";"Në Kosovë; a duhet të mos ketë një përkufizim kushtetues të martesës si një bashkim vetëm midis një burri dhe një gruaje?";"Në Kosovë; a duhet të ketë një përkufizim kushtetues të martesës si një bashkim vetëm midis një burri dhe një gruaje?"
30;"Në Kosovë; a lejohen çiftet e të njëjtës gjini të aplikojnë ligjërisht për adoptim të përbashkët?";"Në Kosovë; a duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë ligjërisht për birësim të përbashkët?";"Në Kosovë; a nuk duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë ligjërisht për adoptim të përbashkët?"
31;"Në Kosovë; a lejohen çiftet e të njëjtës gjini të aplikojnë ligjërisht për adoptim nga prindi i dytë?";"Në Kosovë; a duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë për adoptim nga prindi i dytë?";"Në Kosovë; a nuk duhet t'u lejohet çifteve të së njëjtës gjini të aplikojnë për adoptim nga prindi i dytë?"
