criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1;0.6;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
2;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
3;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
4;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
5;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
6;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
7;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
8;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
9;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
10;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
11;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
12;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
13;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
14;0.8;1.0;0.4;0.8;0.36;1.0;0.36;0.04;1.0;0.04
15;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
16;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
17;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
18;0.6;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
19;0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
20;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
21;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22;0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
23;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
24;0.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
25;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
26;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
27;0.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
28;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
29;0.2;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
30;0.0;0.8;0.6;0.6;1.0;1.0;1.0;0.04;1.0;0.04
31;0.0;0.6;0.4;0.6;1.0;1.0;1.0;0.04;1.0;0.04
32;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
33;0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
34;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
35;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
36;0.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
37;0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
38;0.4;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
39;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
40;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
41;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
42;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
43;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
44;0.2;1.0;0.2;0.9;0.36;1.0;0.36;0.36;1.0;0.36
45;0.6;0.8;0.0;0.9;0.04;1.0;0.04;1.0;1.0;1.0
46;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
47;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
48;0.2;0.2;1.0;0.1;0.36;1.0;0.36;1.0;1.0;1.0
49;1.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
50;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
51;0.6;0.8;0.6;0.6;0.04;1.0;0.04;0.04;1.0;0.04
52;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
53;0.8;0.6;0.6;0.5;0.36;1.0;0.36;0.04;1.0;0.04
54;0.6;0.2;0.0;0.6;0.04;1.0;0.04;1.0;1.0;1.0
55;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
56;0.6;1.0;0.6;0.7;0.04;1.0;0.04;0.04;1.0;0.04
57;0.6;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
58;0.2;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
59;0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
60;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
61;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
62;0.6;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
63;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
64;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
65;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
66;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
67;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
68;0.2;0.8;0.6;0.6;0.36;1.0;0.36;0.04;1.0;0.04
69;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
70;0.0;0.6;1.0;0.3;1.0;1.0;1.0;1.0;1.0;1.0
71;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
72;0.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
73;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
74;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
75;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
