Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);În Moldova, Constituția interzice discriminarea bazată pe orientarea sexuală?;În Moldova, ar trebui constituția să interzică discriminarea bazată pe orientarea sexuală?;În Moldova, ar trebui constituția să permită discriminarea bazată pe orientarea sexuală?
Equality & non-discrimination;Employment (sexual orientation);În Moldova, orientarea sexuală este inclusă în mod explicit în legislația antidiscriminare la angajare?;În Moldova, ar trebui ca orientarea sexuală să fie inclusă în mod explicit în legislația antidiscriminare la angajare?;În Moldova, ar trebui ca orientarea sexuală să fie exclusă din legislația anti-discriminare la angajare?
Equality & non-discrimination;Goods & services (sexual orientation);În Moldova, orientarea sexuală este inclusă în mod explicit în legislația antidiscriminare privind bunurile și serviciile?;În Moldova, ar trebui ca orientarea sexuală să fie inclusă în mod explicit în legislația anti-discriminare privind bunurile și serviciile?;În Moldova, ar trebui ca orientarea sexuală să fie exclusă din legislația anti-discriminare privind bunurile și serviciile?
Equality & non-discrimination;Education (sexual orientation);În Moldova, discriminarea bazată pe orientarea sexuală în domeniul educației este interzisă de legislație?;În Moldova, ar trebui să fie interzisă prin lege discriminarea bazată pe orientarea sexuală în domeniul educației?;În Moldova, ar trebui să fie permisă prin legislație discriminarea bazată pe orientarea sexuală în domeniul educației?
Equality & non-discrimination;Health (sexual orientation);În Moldova, discriminarea bazată pe orientarea sexuală în domeniul sănătății este interzisă de legislație?;În Moldova, ar trebui ca discriminarea bazată pe orientarea sexuală în domeniul sănătății să fie interzisă prin lege?;În Moldova, ar trebui ca discriminarea bazată pe orientarea sexuală în domeniul sănătății să fie permisă prin legislație?
Equality & non-discrimination;Conversion practices ban (sexual orientation);În Moldova, există legislație sau politici care interzic conversia sau practicile reparatorii menite să schimbe orientarea sexuală a unui minor?;În Moldova, ar trebui să fie interzise prin legislație sau politici practicile de conversie sau reparatorii menite să schimbe orientarea sexuală a unui minor?;În Moldova, ar trebui să fie permise prin legislație sau politici practicile de conversie sau reparatorii care vizează schimbarea orientării sexuale a unui minor?
Equality & non-discrimination;Equality body mandate (sexual orientation);În Moldova, există o instituție națională pentru drepturile omului sau un organism de promovare a egalității mandatat în mod explicit să abordeze și să lucreze în mod sistematic asupra problemelor legate de orientarea sexuală?;În Moldova, ar trebui ca o instituție națională pentru drepturile omului sau un organism pentru egalitate să fie mandatat în mod explicit să abordeze și să lucreze în mod sistematic cu privire la problemele legate de orientarea sexuală?;În Moldova, o instituție națională pentru drepturile omului sau un organism pentru egalitate nu ar trebui să fie mandatat să abordeze problemele legate de orientarea sexuală?
Equality & non-discrimination;Equality action plan (sexual orientation);În Moldova, există un plan de acțiune pentru egalitate care include în mod explicit orientarea sexuală și măsuri specifice pentru progres?;În Moldova, ar trebui să existe un plan de acțiune privind egalitatea care să includă în mod explicit orientarea sexuală și măsuri specifice pentru progres?;În Moldova, ar trebui ca orientarea sexuală să fie exclusă din planurile de acțiune pentru egalitate?
Equality & non-discrimination;Constitution (gender identity);În Moldova, Constituția interzice discriminarea bazată pe identitatea de gen?;În Moldova, ar trebui constituția să interzică discriminarea bazată pe identitatea de gen?;În Moldova, ar trebui constituția să permită discriminarea bazată pe identitatea de gen?
Equality & non-discrimination;Employment (gender identity);În Moldova, identitatea de gen este inclusă în mod explicit în legislația anti-discriminare la angajare?;În Moldova, ar trebui ca identitatea de gen să fie inclusă în mod explicit în legislația antidiscriminare la angajare?;În Moldova, ar trebui ca identitatea de gen să fie exclusă din legislația antidiscriminare la angajare?
Equality & non-discrimination;Goods & services (gender identity);În Moldova, identitatea de gen este inclusă în mod explicit în legislația antidiscriminare privind bunurile și serviciile?;În Moldova, ar trebui ca identitatea de gen să fie inclusă în mod explicit în legislația anti-discriminare privind bunurile și serviciile?;În Moldova, ar trebui ca identitatea de gen să fie exclusă din legislația anti-discriminare privind bunurile și serviciile?
Equality & non-discrimination;Education (gender identity);În Moldova, discriminarea bazată pe identitatea de gen în domeniul educației este interzisă de legislație?;În Moldova, ar trebui ca discriminarea bazată pe identitatea de gen în domeniul educației să fie interzisă prin lege?;În Moldova, ar trebui ca discriminarea bazată pe identitatea de gen în domeniul educației să fie permisă prin legislație?
Equality & non-discrimination;Health (gender identity);În Moldova, discriminarea bazată pe identitatea de gen în domeniul sănătății este interzisă de legislație?;În Moldova, ar trebui ca discriminarea bazată pe identitatea de gen în domeniul sănătății să fie interzisă prin lege?;În Moldova, ar trebui ca discriminarea bazată pe identitatea de gen în domeniul sănătății să fie permisă prin legislație?
