criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.8;0.4;0.0;0.7;0.36;1.0;0.36;1.0;1.0;1.0
1;0.6;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
2;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
3;0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
4;0.2;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
5;0.8;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
6;0.2;0.4;1.0;0.2;0.36;1.0;0.36;1.0;1.0;1.0
7;0.4;0.4;0.0;0.7;0.04;1.0;0.04;1.0;1.0;1.0
8;0.8;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
9;0.4;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
10;0.4;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
11;0.6;0.8;0.0;0.9;0.04;1.0;0.04;1.0;1.0;1.0
12;0.8;0.6;0.0;0.8;0.36;1.0;0.36;1.0;1.0;1.0
13;0.4;0.0;0.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
14;0.2;0.2;1.0;0.1;0.36;1.0;0.36;1.0;1.0;1.0
15;0.4;0.6;0.0;0.8;0.04;1.0;0.04;1.0;1.0;1.0
16;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
17;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
18;0.4;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
19;0.4;0.4;0.2;0.6;0.04;1.0;0.04;0.36;1.0;0.36
20;0.8;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
21;0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
22;0.0;0.2;0.2;0.5;1.0;1.0;1.0;0.36;1.0;0.36
23;0.6;0.4;0.2;0.6;0.04;1.0;0.04;0.36;1.0;0.36
24;0.2;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
25;0.6;0.8;0.0;0.9;0.04;1.0;0.04;1.0;1.0;1.0
26;1.0;0.8;0.6;0.6;1.0;1.0;1.0;0.04;1.0;0.04
27;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
28;0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
29;1.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
30;0.6;0.8;0.4;0.7;0.04;1.0;0.04;0.04;1.0;0.04
31;0.2;0.6;0.2;0.7;0.36;1.0;0.36;0.36;1.0;0.36
32;0.8;0.6;0.8;0.4;0.36;1.0;0.36;0.36;1.0;0.36
33;0.8;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
