Category;Subcategory;Fact;Support;Opposition
Equality & non-discrimination;Constitution (sexual orientation);"U Bosni i Hercegovini; zabranjuje li ustav diskriminaciju na temelju seksualne orijentacije?";"U Bosni i Hercegovini; bi li ustav trebao zabraniti diskriminaciju na temelju seksualne orijentacije?";"U Bosni i Hercegovini; bi li ustav trebao dopuštati diskriminaciju na temelju seksualne orijentacije?"
Equality & non-discrimination;Employment (sexual orientation);U Bosni i Hercegovini je li seksualna orijentacija izričito uključena u zakonodavstvo o antidiskriminaciji u zapošljavanju?;"U Bosni i Hercegovini; treba li seksualnu orijentaciju izričito uključiti u zakonodavstvo o zabrani diskriminacije pri zapošljavanju?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju izuzeti iz zakonodavstva o zabrani diskriminacije u zapošljavanju?"
Equality & non-discrimination;Goods & services (sexual orientation);"U Bosni i Hercegovini; je li seksualna orijentacija izričito uključena u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju izričito uključiti u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju isključiti iz zakonodavstva protiv diskriminacije u proizvodima i uslugama?"
Equality & non-discrimination;Education (sexual orientation);Je li u Bosni i Hercegovini diskriminacija na temelju seksualne orijentacije u području obrazovanja zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području obrazovanja trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području obrazovanja trebala biti dopuštena zakonom?"
Equality & non-discrimination;Health (sexual orientation);Je li u Bosni i Hercegovini diskriminacija na temelju seksualne orijentacije u području zdravstva zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području zdravstva trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju seksualne orijentacije u području zdravstva trebala biti dopuštena zakonom?"
Equality & non-discrimination;Conversion practices ban (sexual orientation);Postoje li u Bosni i Hercegovini zakoni ili politike koje zabranjuju konverzijske ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika?;"U Bosni i Hercegovini; bi li konverzijske ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika trebale biti zabranjene zakonom ili politikama?";"U Bosni i Hercegovini; bi li zakonodavstvom ili politikama trebale biti dopuštene konverzijske ili reparativne prakse usmjerene na promjenu seksualne orijentacije maloljetnika?"
Equality & non-discrimination;Equality body mandate (sexual orientation);Postoji li u Bosni i Hercegovini nacionalna institucija za ljudska prava ili tijelo za ravnopravnost koje je izričito ovlašteno baviti se i sustavno raditi na pitanjima vezanim uz seksualnu orijentaciju?;"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali biti izričito ovlašteni da se bave i sustavno rade na pitanjima vezanim uz seksualnu orijentaciju?";"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali biti ovlašteni baviti se pitanjima vezanim uz seksualnu orijentaciju?"
Equality & non-discrimination;Equality action plan (sexual orientation);Postoji li u Bosni i Hercegovini akcijski plan za ravnopravnost koji izričito uključuje seksualnu orijentaciju i konkretne mjere za napredak?;"U Bosni i Hercegovini; bi li trebalo postojati akcijsko plan za ravnopravnost koji izričito uključuje seksualnu orijentaciju i konkretne mjere za napredak?";"U Bosni i Hercegovini; treba li seksualnu orijentaciju isključiti iz akcijskih planova za ravnopravnost?"
Equality & non-discrimination;Constitution (gender identity);"U Bosni i Hercegovini; zabranjuje li ustav diskriminaciju na temelju rodnog identiteta?";"U Bosni i Hercegovini; bi li ustav trebao zabraniti diskriminaciju na temelju rodnog identiteta?";"U Bosni i Hercegovini; bi li ustav trebao dopustiti diskriminaciju na temelju rodnog identiteta?"
Equality & non-discrimination;Employment (gender identity);U Bosni i Hercegovini je li rodni identitet izričito uključen u zakonodavstvo o zabrani diskriminacije pri zapošljavanju?;"U Bosni i Hercegovini; treba li rodni identitet izričito uključiti u zakonodavstvo o zabrani diskriminacije u zapošljavanju?";"U Bosni i Hercegovini; treba li rodni identitet biti isključen iz zakonodavstva o zabrani diskriminacije u zapošljavanju?"
Equality & non-discrimination;Goods & services (gender identity);U Bosni i Hercegovini je li rodni identitet izričito uključen u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?;"U Bosni i Hercegovini; treba li rodni identitet izričito uključiti u zakonodavstvo protiv diskriminacije u pružanju dobara i usluga?";"U Bosni i Hercegovini; treba li rodni identitet isključiti iz zakonodavstva protiv diskriminacije u pružanju dobara i usluga?"
Equality & non-discrimination;Education (gender identity);Je li u Bosni i Hercegovini diskriminacija na temelju rodnog identiteta u području obrazovanja zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području obrazovanja trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području obrazovanja trebala biti dopuštena zakonom?"
Equality & non-discrimination;Health (gender identity);Je li diskriminacija na temelju rodnog identiteta u području zdravstva u Bosni i Hercegovini zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području zdravstva trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li diskriminacija na temelju rodnog identiteta u području zdravstva trebala biti dopuštena zakonom?"
Equality & non-discrimination;Conversion practices ban (gender identity);Postoje li u Bosni i Hercegovini zakoni ili politike koje zabranjuju konverzijske ili reparativne prakse usmjerene na promjenu rodnog identiteta maloljetnika?;"U Bosni i Hercegovini; bi li konverzione ili reparativne prakse usmjerene na promjenu rodnog identiteta maloljetnika trebale biti zabranjene zakonom ili politikama?";"U Bosni i Hercegovini; bi li zakonodavstvom ili politikama trebale biti dopuštene konverzione ili reparativne prakse usmjerene na promjenu rodnog identiteta maloljetnika?"
Equality & non-discrimination;Equality body mandate (gender identity);Postoji li u Bosni i Hercegovini nacionalna institucija za ljudska prava ili tijelo za ravnopravnost koje je izričito ovlašteno baviti se i sustavno raditi na pitanjima vezanim uz rodni identitet? (mislim da vam treba samo jedno);"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali imati izričito ovlaštenje za rješavanje pitanja vezanih uz rodni identitet?";"U Bosni i Hercegovini; bi li nacionalna institucija za ljudska prava ili tijelo za ravnopravnost trebali biti ovlašteni baviti se pitanjima vezanim uz rodni identitet?"
Equality & non-discrimination;Equality action plan (gender identity);Postoji li u Bosni i Hercegovini akcijski plan za ravnopravnost koji izričito uključuje rodni identitet i konkretne mjere za napredak?;"U Bosni i Hercegovini; bi li trebalo postojati akcijsko plan za ravnopravnost koji izričito uključuje rodni identitet i konkretne mjere za napredak?";"U Bosni i Hercegovini; treba li rodni identitet isključiti iz akcijskih planova za ravnopravnost?"
Equality & non-discrimination;Law (gender expression);U Bosni i Hercegovini je li rodni izraz izričito uključen u zakonodavstvo protiv diskriminacije?;"U Bosni i Hercegovini; treba li rodni izraz izričito uključiti u zakonodavstvo protiv diskriminacije?";"U Bosni i Hercegovini; treba li rodni izraz biti isključen iz zakonodavstva protiv diskriminacije?"
Equality & non-discrimination;Constitution (sex characteristics);"U Bosni i Hercegovini; zabranjuje li ustav diskriminaciju na temelju spolnih karakteristika?";"U Bosni i Hercegovini; bi li ustav trebao zabraniti diskriminaciju na temelju spolnih karakteristika?";"U Bosni i Hercegovini; bi li ustav trebao dopuštati diskriminaciju na temelju spolnih karakteristika?"
Equality & non-discrimination;Employment (sex characteristics);"U Bosni i Hercegovini; jesu li spolne karakteristike izričito uključene u zakonodavstvo o antidiskriminaciji u zapošljavanju?";"U Bosni i Hercegovini; bi li spolne karakteristike trebalo izričito uključiti u zakonodavstvo o antidiskriminaciji u zapošljavanju?";"U Bosni i Hercegovini; bi li spolne karakteristike trebalo isključiti iz zakonodavstva o zabrani diskriminacije u zapošljavanju?"
Equality & non-discrimination;Goods & services (sex characteristics);"U Bosni i Hercegovini; jesu li spolne karakteristike izričito uključene u zakonodavstvo protiv diskriminacije u proizvodima i uslugama?";"U Bosni i Hercegovini; bi li spolne karakteristike trebalo izričito uključiti u zakonodavstvo protiv diskriminacije u proizvodima i uslugama?";"U Bosni i Hercegovini; bi li spolne karakteristike trebalo isključiti iz zakonodavstva protiv diskriminacije u pružanju dobara i usluga?"
Equality & non-discrimination;Education (sex characteristics);Je li u Bosni i Hercegovini diskriminacija na temelju spolnih karakteristika u području obrazovanja zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju spolnih karakteristika u području obrazovanja trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li zakonodavstvo trebalo dopustiti diskriminaciju na temelju spolnih karakteristika u području obrazovanja?"
Equality & non-discrimination;Health (sex characteristics);Je li u Bosni i Hercegovini diskriminacija na temelju spolnih karakteristika u području zdravstva zabranjena zakonom?;"U Bosni i Hercegovini; bi li diskriminacija na temelju spolnih karakteristika u području zdravstva trebala biti zabranjena zakonom?";"U Bosni i Hercegovini; bi li zakonodavstvo trebalo dopustiti diskriminaciju na temelju spolnih karakteristika u području zdravstva?"
Equality & non-discrimination;Equality body mandate (sex characteristics);Postoji li u Bosni i Hercegovini nacionalna institucija za ljudska prava ili tijelo za ravnopravnost koje je izričito ovlašteno baviti se i sustavno raditi na pitanjima vezanim uz spolne karakteristike?;"U Bosni i Hercegovini; bi li nacionalnim institucijama za ljudska prava ili tijelima za ravnopravnost trebalo izričito povjeriti rješavanje pitanja povezanih sa spolnim karakteristikama?";"U Bosni i Hercegovini; bi li nacionalne institucije za ljudska prava ili tijela za ravnopravnost trebale biti ovlaštene baviti se pitanjima vezanim uz spolne karakteristike?"
Equality & non-discrimination;Equality action plan (sex characteristics);Postoji li u Bosni i Hercegovini akcijski plan za ravnopravnost koji izričito uključuje spolne karakteristike i konkretne mjere za napredak?;U Bosni i Hercegovini bi li trebalo postojati akcijsko plan za ravnopravnost koji izričito uključuje rodni identitet i konkretne mjere za napredak?;"U Bosni i Hercegovini; trebaju li se spolne karakteristike isključiti iz akcijskih planova za ravnopravnost?"
Equality & non-discrimination;Blood donations;"U Bosni i Hercegovini; je li darivanje krvi ili bilo kakvih tjelesnih tkiva za LGBTI osobe na temelju njihove seksualne orijentacije ili rodnog identiteta oslobođeno zakonodavne ili administrativne zabrane? ";U Bosni i Hercegovini bi li darivanje krvi ili bilo kojih tjelesnih tkiva za LGBTI osobe na temelju njihove seksualne orijentacije ili rodnog identiteta trebalo biti oslobođeno zakonodavnih ili administrativnih zabrana? ;"U Bosni i Hercegovini; bi li darivanje krvi ili bilo kojih tjelesnih tkiva od strane LGBTI osoba na temelju njihove seksualne orijentacije ili rodnog identiteta trebalo biti podložno zakonodavnoj ili administrativnoj zabrani? "
Family;Marriage equality;U Bosni i Hercegovini li je istospolnim parovima dopušteno vjenčati se s istim razinom prava kao i heterospolnim bračnim parovima?;"U Bosni i Hercegovini; bi li istospolnim parovima trebalo dopustiti sklapanje braka s istim pravima kao i različitospolnim bračnim parovima?";"U Bosni i Hercegovini; bi li istospolnim parovima trebalo zabraniti sklapanje braka s istim pravima kao heterospolnim bračnim parovima?"
