criterion_id;Fact;Support;Opposition
0;Verbietet die österreichische Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung?;Sollte in Österreich die Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung verbieten?;Sollte in Österreich die Verfassung eine Diskriminierung aufgrund der sexuellen Ausrichtung erlauben?
1;Ist in Österreich die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsgesetzen für den Bereich Beschäftigung enthalten?;Sollte in Österreich die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsgesetze für den Arbeitsmarkt aufgenommen werden?;Sollte in Österreich die sexuelle Ausrichtung von den Antidiskriminierungsgesetzen im Bereich der Beschäftigung ausgenommen werden?
2;Ist in Österreich die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollte in Österreich die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollte in Österreich die sexuelle Ausrichtung aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
3;Ist in Österreich eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bildungsbereich gesetzlich verboten?;Sollte in Österreich die Diskriminierung aufgrund der sexuellen Ausrichtung im Bildungsbereich gesetzlich verboten werden?;Sollte in Österreich die Diskriminierung aufgrund der sexuellen Ausrichtung im Bildungsbereich gesetzlich erlaubt sein?
4;Ist in Österreich eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten?;Sollte in Österreich die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten werden?;Sollte in Österreich die Diskriminierung aufgrund der sexuellen Ausrichtung im Gesundheitsbereich gesetzlich erlaubt sein?
5;Gibt es in Österreich Rechtsvorschriften oder Maßnahmen, die Bekehrungs- oder Wiederherstellungspraktiken verbieten, die darauf abzielen, die sexuelle Ausrichtung eines Minderjährigen zu ändern?;Sollten in Österreich Bekehrungs- oder Reparationspraktiken, die darauf abzielen, die sexuelle Orientierung von Minderjährigen zu ändern, gesetzlich oder politisch verboten werden?;Sollten in Österreich Bekehrungs- oder Wiederherstellungspraktiken, die darauf abzielen, die sexuelle Orientierung von Minderjährigen zu ändern, gesetzlich oder politisch erlaubt sein?
6;Gibt es in Österreich eine nationale Menschenrechtsinstitution oder eine Gleichbehandlungsstelle, die ausdrücklich beauftragt ist, sich mit Fragen der sexuellen Orientierung zu befassen und systematisch daran zu arbeiten?;Sollte in Österreich eine nationale Menschenrechtsinstitution oder Gleichbehandlungsstelle ausdrücklich damit beauftragt werden, sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?;Sollte in Österreich eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle nicht beauftragt werden, sich mit Fragen der sexuellen Ausrichtung zu befassen?
7;Gibt es in Österreich einen Aktionsplan zur Gleichstellung, der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte beinhaltet?;Sollte es in Österreich einen Aktionsplan zur Gleichstellung geben, der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?;Sollte in Österreich die sexuelle Ausrichtung aus den Gleichstellungsaktionsplänen ausgeschlossen werden?
8;Ist in Österreich die Diskriminierung aufgrund der Geschlechtsidentität verfassungsrechtlich verboten?;Sollte in Österreich die Verfassung die Diskriminierung aufgrund der Geschlechtsidentität verbieten?;Sollte in Österreich die Verfassung Diskriminierung aufgrund der Geschlechtsidentität zulassen?
9;Ist in Österreich die Geschlechtsidentität ausdrücklich in den Antidiskriminierungsgesetzen für den Bereich Beschäftigung enthalten?;Sollte in Österreich die Geschlechtsidentität ausdrücklich in die Antidiskriminierungsgesetze für den Arbeitsmarkt aufgenommen werden?;Sollte in Österreich die Geschlechtsidentität aus den Antidiskriminierungsgesetzen im Bereich der Beschäftigung ausgeschlossen werden?
